วันที่,เลขที่ใบเสร็จ,ประเภทใบเสร็จ,ประเภท,รหัสSKUสินค้า,รายการ,ตัวแปร,ปรับเปลี่ยนการใช้งาน,จำนวน,ยอดขายรวม,ส่วนลด,ยอดขายสุทธิ,ต้นทุนของสินค้า,กำไรรวม,ภาษี,ระบบขายหน้าร้าน,ร้านค้า,ชื่อแคชเชียร์,ชื่อลูกค้า,รายชื่อติดต่อลูกค้า,ความคิดเห็น,สถานะ
13/9/20 16:46,1-7870,ลดราคา,ของแห้ง,10173,ไข่ไก่,,,15.000,105.00,0.00,105.00,0.00,105.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
13/9/20 16:45,1-7869,ลดราคา,ข้าวสาร,PD00003-1,ข้าวกล้อง 5 กก,,,1.000,265.00,0.00,265.00,0.00,265.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
13/9/20 16:45,1-7869,ลดราคา,ข้าวสาร,PD00004-1,ข้าวกล้อง 2 กก,,,1.000,110.00,0.00,110.00,0.00,110.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
13/9/20 16:45,1-7869,ลดราคา,ผักผล,10064,กะหล่ำปลี,,,1.100,66.00,0.00,66.00,0.00,66.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
13/9/20 16:45,1-7869,ลดราคา,ผักใบ,10020,กวางตุ้ง,,,0.500,60.00,0.00,60.00,0.00,60.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
13/9/20 16:45,1-7869,ลดราคา,ผักผล,10130,มะเขือยาว,,,0.450,27.00,0.00,27.00,0.00,27.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
13/9/20 16:45,1-7869,ลดราคา,ผักผล,10093,บวบหอม,,,1.200,72.00,0.00,72.00,0.00,72.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
13/9/20 16:45,1-7869,ลดราคา,ผักผล,10008,กระเทียม,,,0.520,114.40,0.00,114.40,0.00,114.40,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
13/9/20 14:50,1-7868,ลดราคา,ผักใบ,10168,ใบเหลียง,,,2.000,80.00,0.00,80.00,0.00,80.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
13/9/20 14:50,1-7868,ลดราคา,ผักใบ,10076,จิงจูฉ่าย,,,0.200,24.00,0.00,24.00,0.00,24.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
13/9/20 14:50,1-7868,ลดราคา,ผลไม้,10159,แตงไทย,,,1.400,84.00,0.00,84.00,0.00,84.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
13/9/20 14:50,1-7868,ลดราคา,ผักผล,10116,ฟักหอม,,,1.756,105.36,0.00,105.36,0.00,105.36,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
13/9/20 14:50,1-7868,ลดราคา,ผักผล,10121,มะนาว,,,0.600,36.00,0.00,36.00,0.00,36.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
13/9/20 14:50,1-7868,ลดราคา,ผักผล,10134,มะเขือเปราะ,,,0.790,47.40,0.00,47.40,0.00,47.40,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
13/9/20 14:50,1-7868,ลดราคา,ผักผล,10130,มะเขือยาว,,,0.320,19.20,0.00,19.20,0.00,19.20,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
13/9/20 14:50,1-7868,ลดราคา,ของแห้ง,10173,ไข่ไก่,,,30.000,210.00,0.00,210.00,0.00,210.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
13/9/20 14:50,1-7868,ลดราคา,ข้าวสาร,PD00011-1,ข้าวหอมมะลิ 5 กก,,,2.000,600.00,0.00,600.00,0.00,600.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
13/9/20 14:50,1-7868,ลดราคา,ผักผล,10073,ข้าวโพดหวาน,,,1.320,79.20,0.00,79.20,0.00,79.20,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
