วันที่,เลขที่ใบเสร็จ,ประเภทใบเสร็จ,ประเภท,รหัสSKUสินค้า,รายการ,ตัวแปร,ปรับเปลี่ยนการใช้งาน,จำนวน,ยอดขายรวม,ส่วนลด,ยอดขายสุทธิ,ต้นทุนของสินค้า,กำไรรวม,ภาษี,ระบบขายหน้าร้าน,ร้านค้า,ชื่อแคชเชียร์,ชื่อลูกค้า,รายชื่อติดต่อลูกค้า,ความคิดเห็น,สถานะ
25/10/20 16:09,1-1483,ลดราคา,ของกิน,10038,กุนเชียงปลา,,,1.000,145.00,0.00,145.00,0.00,145.00,0.00,POS 1,Tham Delivery,เจ้าของ,,,,ปิด
25/10/20 16:09,1-1483,ลดราคา,ของกิน,PD00022-1,ถั่วงาแผ่น,,,4.000,280.00,0.00,280.00,200.00,80.00,0.00,POS 1,Tham Delivery,เจ้าของ,,,,ปิด
25/10/20 16:09,1-1483,ลดราคา,ข้าวสาร,PD00003-1,ข้าวกล้อง 5 กก,,,1.000,265.00,0.00,265.00,0.00,265.00,0.00,POS 1,Tham Delivery,เจ้าของ,,,,ปิด
25/10/20 16:09,1-1483,ลดราคา,ผักผล,10115,ฟักทอง,,,1.000,60.00,0.00,60.00,0.00,60.00,0.00,POS 1,Tham Delivery,เจ้าของ,,,,ปิด
25/10/20 16:09,1-1483,ลดราคา,ผลไม้,10159,แตงไทย,,,0.900,54.00,0.00,54.00,0.00,54.00,0.00,POS 1,Tham Delivery,เจ้าของ,,,,ปิด
25/10/20 16:09,1-1483,ลดราคา,ผักผล,10158,แตงกวา,,,0.460,27.60,0.00,27.60,0.00,27.60,0.00,POS 1,Tham Delivery,เจ้าของ,,,,ปิด
25/10/20 16:09,1-1483,ลดราคา,ผักผล,10008,กระเทียม,,,0.440,96.80,0.00,96.80,0.00,96.80,0.00,POS 1,Tham Delivery,เจ้าของ,,,,ปิด
25/10/20 16:09,1-1483,ลดราคา,ของกิน,PD00056-1,ถั่วลิสง 0.5 กก,,,1.000,60.00,0.00,60.00,0.00,60.00,0.00,POS 1,Tham Delivery,เจ้าของ,,,,ปิด
25/10/20 16:09,1-1483,ลดราคา,ผักใบ,10168,ใบเหลียง,,,1.000,40.00,0.00,40.00,0.00,40.00,0.00,POS 1,Tham Delivery,เจ้าของ,,,,ปิด
25/10/20 16:09,1-1483,ลดราคา,ผักใบ,10079,ชายา,,,0.200,12.00,0.00,12.00,0.00,12.00,0.00,POS 1,Tham Delivery,เจ้าของ,,,,ปิด
25/10/20 16:09,1-1483,ลดราคา,ผลไม้,10170,กล้วยน้ําว้า,,,3.000,150.00,0.00,150.00,0.00,150.00,0.00,POS 1,Tham Delivery,เจ้าของ,,,,ปิด
25/10/20 15:53,1-1482,ลดราคา,ผลไม้,10159,แตงไทย,,,0.600,36.00,0.00,36.00,0.00,36.00,0.00,POS 1,Tham Delivery,เจ้าของ,,,,ปิด
25/10/20 15:53,1-1482,ลดราคา,ผักผล,10091,น้ําเต้า,,,1.400,84.00,0.00,84.00,0.00,84.00,0.00,POS 1,Tham Delivery,เจ้าของ,,,,ปิด
25/10/20 15:10,1-1481,ลดราคา,ผลไม้,10159,แตงไทย,,,1.100,66.00,0.00,66.00,0.00,66.00,0.00,POS 1,Tham Delivery,เจ้าของ,,,,ปิด
25/10/20 15:10,1-1481,ลดราคา,ผลไม้,10170,กล้วยน้ําว้า,,,1.000,50.00,0.00,50.00,0.00,50.00,0.00,POS 1,Tham Delivery,เจ้าของ,,,,ปิด
25/10/20 15:00,1-1480,ลดราคา,ผลไม้,10170,กล้วยน้ําว้า,,,1.000,50.00,0.00,50.00,0.00,50.00,0.00,POS 1,Tham Delivery,เจ้าของ,,,,ปิด
25/10/20 15:00,1-1480,ลดราคา,ผักใบ,10168,ใบเหลียง,,,1.000,40.00,0.00,40.00,0.00,40.00,0.00,POS 1,Tham Delivery,เจ้าของ,,,,ปิด
25/10/20 15:00,1-1480,ลดราคา,ผักผล,10072,ข้าวโพดข้าวเหนียว,,,2.000,120.00,0.00,120.00,0.00,120.00,0.00,POS 1,Tham Delivery,เจ้าของ,,,,ปิด
25/10/20 15:00,1-1480,ลดราคา,ข้าวสาร,PD00011-1,ข้าวหอมมะลิ 5 กก,,,1.000,300.00,0.00,300.00,0.00,300.00,0.00,POS 1,Tham Delivery,เจ้าของ,,,,ปิด
25/10/20 15:00,1-1480,ลดราคา,ผักผล,10115,ฟักทอง,,,1.300,78.00,0.00,78.00,0.00,78.00,0.00,POS 1,Tham Delivery,เจ้าของ,,,,ปิด
25/10/20 15:00,1-1480,ลดราคา,ผลไม้,10159,แตงไทย,,,1.300,78.00,0.00,78.00,0.00,78.00,0.00,POS 1,Tham Delivery,เจ้าของ,,,,ปิด
25/10/20 15:00,1-1480,ลดราคา,ผักผล,10134,มะเขือเปราะ,,,0.170,10.20,0.00,10.20,0.00,10.20,0.00,POS 1,Tham Delivery,เจ้าของ,,,,ปิด
25/10/20 15:00,1-1480,ลดราคา,,10033,บวบเหลี่ยม,,,0.540,32.40,0.00,32.40,0.00,32.40,0.00,POS 1,Tham Delivery,เจ้าของ,,,,ปิด
25/10/20 15:00,1-1480,ลดราคา,ของกิน,10038,กุนเชียงปลา,,,1.000,145.00,0.00,145.00,0.00,145.00,0.00,POS 1,Tham Delivery,เจ้าของ,,,,ปิด
25/10/20 15:00,1-1480,ลดราคา,ของกิน,PD00028-1,น้ําปลาหวาน,,,1.000,70.00,0.00,70.00,45.00,25.00,0.00,POS 1,Tham Delivery,เจ้าของ,,,,ปิด
25/10/20 15:00,1-1480,ลดราคา,ผักผล,10008,กระเทียม,,,0.460,101.20,0.00,101.20,0.00,101.20,0.00,POS 1,Tham Delivery,เจ้าของ,,,,ปิด
