วันที่,เลขที่ใบเสร็จ,ประเภทใบเสร็จ,ประเภท,รหัสSKUสินค้า,รายการ,ตัวแปร,ปรับเปลี่ยนการใช้งาน,จำนวน,ยอดขายรวม,ส่วนลด,ยอดขายสุทธิ,ต้นทุนของสินค้า,กำไรรวม,ภาษี,ระบบขายหน้าร้าน,ร้านค้า,ชื่อแคชเชียร์,ชื่อลูกค้า,รายชื่อติดต่อลูกค้า,ความคิดเห็น,สถานะ
19/9/20 21:10,1-7884,ลดราคา,ของใช้,PD00045-1,แชมพูครีมนวดอัญชัน,,,1.000,155.00,0.00,155.00,0.00,155.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 16:58,1-7883,ลดราคา,ผักผล,10008,กระเทียม,,,0.250,55.00,1.40,53.60,0.00,53.60,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 16:58,1-7883,ลดราคา,ผักใบ,10142,วอเตอร์เครส,,,0.100,12.00,0.30,11.70,0.00,11.70,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 16:58,1-7883,ลดราคา,ผักผล,10149,หอมใหญ่,,,0.360,43.20,1.10,42.10,0.00,42.10,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 16:58,1-7883,ลดราคา,ผักผล,10115,ฟักทอง,,,1.440,86.40,2.20,84.20,0.00,84.20,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 16:51,1-7882,ลดราคา,ของแห้ง,10173,ไข่ไก่,,,15.000,105.00,0.00,105.00,0.00,105.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 16:51,1-7882,ลดราคา,ข้าวสาร,PD00003-1,ข้าวกล้อง 5 กก,,,1.000,265.00,0.00,265.00,0.00,265.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 16:51,1-7882,ลดราคา,ปุ๋ย,10009,น้ำส้มควันไม้,,,1.000,155.00,0.00,155.00,0.00,155.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 16:51,1-7882,ลดราคา,ผักผล,10008,กระเทียม,,,0.300,66.00,0.00,66.00,0.00,66.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 16:51,1-7882,ลดราคา,ผลไม้,10109,ฝรั่ง,,,0.460,27.60,0.00,27.60,0.00,27.60,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 16:51,1-7882,ลดราคา,ผักใบ,10082,ตะไคร้,,,0.170,10.20,0.00,10.20,0.00,10.20,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 15:06,1-7881,ลดราคา,ข้าวสาร,PD00003-1,ข้าวกล้อง 5 กก,,,1.000,265.00,0.07,264.93,0.00,264.93,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 15:06,1-7881,ลดราคา,ผักใบ,10078,ชะอม,,,0.200,24.00,0.00,24.00,0.00,24.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 15:06,1-7881,ลดราคา,ผักใบ,10065,กะเพรา,,,0.060,7.20,0.00,7.20,0.00,7.20,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 15:06,1-7881,ลดราคา,ผักใบ,10074,คะน้า,,,0.200,24.00,0.01,23.99,0.00,23.99,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 15:06,1-7881,ลดราคา,ผักใบ,10168,ใบเหลียง,,,1.000,40.00,0.01,39.99,0.00,39.99,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 15:06,1-7881,ลดราคา,ผักผล,10130,มะเขือยาว,,,0.200,12.00,0.00,12.00,0.00,12.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 15:06,1-7881,ลดราคา,ผักผล,10048,มะระจีน,,,0.300,18.00,0.01,17.99,0.00,17.99,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 15:06,1-7881,ลดราคา,ผักผล,10134,มะเขือเปราะ,,,0.280,16.80,0.00,16.80,0.00,16.80,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 15:06,1-7881,ลดราคา,ผักผล,10111,พริกขี้หนู,,,0.100,24.00,0.01,23.99,0.00,23.99,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 15:06,1-7881,ลดราคา,ผักผล,10137,มันเทศ,,,0.670,40.20,0.01,40.19,0.00,40.19,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 15:06,1-7881,ลดราคา,ของแห้ง,10173,ไข่ไก่,,,10.000,70.00,0.01,69.99,0.00,69.99,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 15:06,1-7881,ลดราคา,ข้าวสาร,PD00003-1,ข้าวกล้อง 5 กก,,,1.000,265.00,0.07,264.93,0.00,264.93,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 14:25,1-7880,ลดราคา,ผักใบ,10078,ชะอม,,,0.100,12.00,0.00,12.00,0.00,12.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 14:25,1-7880,ลดราคา,ผักใบ,10168,ใบเหลียง,,,1.000,40.00,0.00,40.00,0.00,40.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 14:25,1-7880,ลดราคา,ผักผล,10158,แตงกวา,,,0.350,21.00,0.00,21.00,0.00,21.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 14:19,1-7879,ลดราคา,ผลไม้,10109,ฝรั่ง,,,0.700,42.00,0.00,42.00,0.00,42.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 14:19,1-7879,ลดราคา,ผักผล,10127,มะละกอดิบ  ลูกละ,,,1.000,25.00,0.00,25.00,0.00,25.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 14:19,1-7879,ลดราคา,ผักผล,10072,ข้าวโพดข้าวเหนียว,,,2.500,150.00,0.00,150.00,0.00,150.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 14:19,1-7879,ลดราคา,ผักใบ,10168,ใบเหลียง,,,1.000,40.00,0.00,40.00,0.00,40.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 14:19,1-7879,ลดราคา,ผลไม้,10170,กล้วยน้ำว้า,,,2.000,100.00,0.00,100.00,0.00,100.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 14:19,1-7879,ลดราคา,ผักใบ,10103,ผักปลัง,,,0.300,36.00,0.00,36.00,0.00,36.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 14:10,1-7878,ลดราคา,ผลไม้,10170,กล้วยน้ำว้า,,,1.000,50.00,0.00,50.00,0.00,50.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 13:18,1-7877,ลดราคา,ผักผล,10121,มะนาว,,,0.400,24.00,0.00,24.00,0.00,24.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 13:18,1-7877,ลดราคา,ผักผล,10003,กระเจี๊ยบเขียว,,,0.170,20.40,0.00,20.40,0.00,20.40,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 13:18,1-7877,ลดราคา,ผักผล,10048,มะระจีน,,,0.360,21.60,0.00,21.60,0.00,21.60,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 13:18,1-7877,ลดราคา,ผักใบ,10074,คะน้า,,,0.270,32.40,0.00,32.40,0.00,32.40,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 13:18,1-7877,ลดราคา,ผักผล,10071,ข่าแดง,,,0.250,15.00,0.00,15.00,0.00,15.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 13:18,1-7877,ลดราคา,ผักผล,10158,แตงกวา,,,0.700,42.00,0.00,42.00,0.00,42.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 13:18,1-7877,ลดราคา,ผักผล,10033,บวบเหลี่ยม,,,0.780,46.80,0.00,46.80,0.00,46.80,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 13:18,1-7877,ลดราคา,ผักผล,10008,กระเทียม,,,0.250,55.00,0.00,55.00,0.00,55.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 13:18,1-7877,ลดราคา,ผักผล,10111,พริกขี้หนู,,,0.150,36.00,0.00,36.00,0.00,36.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 13:18,1-7877,ลดราคา,ผักผล,10117,ฟักเขียว,,,1.000,60.00,0.00,60.00,0.00,60.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 13:18,1-7877,ลดราคา,ผลไม้,10021,มะม่วงR2E2,,,2.500,175.00,0.00,175.00,0.00,175.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/9/20 13:18,1-7877,ลดราคา,ผักผล,10115,ฟักทอง,,,1.100,66.00,0.00,66.00,0.00,66.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
